CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
30828,NASDAQ:COBR,0,2021-01-01
30831,,0,2021-01-01
31107,Nasdaq:EML,24,2021-01-01
31235,NYSE:KODK,8.59,2021-01-01
31347,NASDAQ:ELON,0,2021-01-01
31462,NYSE:ECL,225.74,2021-01-01
31667,Nasdaq:EDUC,16.08,2021-01-01
31791,NYSE:PKI,160.53,2021-01-01
31978,NYSE:EE,0,2021-01-01
32020,,0,2021-01-01
32166,NASDAQ:ELRC,0,2021-01-01
32604,NYSE:EMR,82.07,2021-01-01
32621,AMEX:MSN,0,2021-01-01
32689,NYSE:EDE,0,2021-01-01
32878,NASDAQ:ENERQ,0,2021-01-01
33002,NYSE:EBF,18.63,2021-01-01
33185,NYSE:EFX,181.29,2021-01-01
33213,NYSE:EQT,14.94,2021-01-01
33488,Nasdaq:ESCA,22.42,2021-01-01
33523,,0,2021-01-01
33533,AMEX:ESP,0,2021-01-01
33619,NYSE:ESL,0,2021-01-01
33769,NASDAQ:BOBE,0,2021-01-01
33934,AMEX:CRF,0,2021-01-01
33992,Nasdaq:KINS,6.9,2021-01-01
34067,Nasdaq:BOOM,51.1,2021-01-01
34088,NYSE:XOM,44.96,2021-01-01
34151,NYSE:JAS,0,2021-01-01
34349,,0,2021-01-01
34408,NYSE:FDO,0,2021-01-01
34489,,0,2021-01-01
34563,Nasdaq:FARM,5.04,2021-01-01
34782,Nasdaq:SRCE,43.45,2021-01-01
34903,NYSE:FRT,84.65,2021-01-01
34956,Nasdaq:TENX,2784,2021-01-01
35214,NYSE:FOE,0,2021-01-01
35527,Nasdaq:FITB,31.44,2021-01-01
36029,Nasdaq:FFIN,39.88,2021-01-01
36032,NYSE:RF,17.66,2021-01-01
36047,NYSE:CLGX,0,2021-01-01
36104,Nasdaq:FRBA,49.99,2021-01-01
36146,Nasdaq:TRMK,30.11,2021-01-01
36270,NYSE:MTB,147.55,2021-01-01
36377,NASDAQ:FHB,25.61,2021-01-01
36966,NYSE:FHN,14.95,2021-01-01
37008,NYSE:FUR,0,2021-01-01
37039,,0,2021-01-01
37049,NYSE:FWV,0,2021-01-01
37472,Nasdaq:FLXS,35.87,2021-01-01
37643,NASDAQ:FPU,0,2021-01-01
37748,NYSE:FLR,17.79,2021-01-01
37785,NYSE:FMC,121.88,2021-01-01
37808,NYSE:FNB,10.85,2021-01-01
37996,NYSE:F,9.06,2021-01-01
38067,,0,2021-01-01
38074,NYSE:FRX,0,2021-01-01
38079,NYSE:SOGCQ,0,2021-01-01
38188,NYSE:FDI,0,2021-01-01
38264,Nasdaq:FORD,1.91,2021-01-01
38725,Nasdaq:FELE,74.4,2021-01-01
38777,NYSE:BEN,25.49,2021-01-01
38984,NASDAQ:RELY,0,2021-01-01
39020,Nasdaq:FEIM,11.04,2021-01-01
39092,AMEX:FRD,0,2021-01-01
39263,NYSE:CFR,95.52,2021-01-01
39273,NASDAQ:FFEX,0,2021-01-01
39311,Nasdaq:IBCP,20.31,2021-01-01
39368,NYSE:FUL,56.65,2021-01-01
39648,NASDAQ:GK,0,2021-01-01
39677,NASDAQ:AVHI,0,2021-01-01
39899,NYSE:GCI,15.64,2021-01-01
39911,NYSE:GPS,21.5,2021-01-01
40211,NYSE:GATX,87.67,2021-01-01
40417,NYSE:GAM,37.79,2021-01-01
40533,NYSE:GD,151.72,2021-01-01
40545,NYSE:GE,56.23,2021-01-01
40554,NYSE:GEK,0,2021-01-01
40570,AMEX:JOB,0,2021-01-01
40704,NYSE:GIS,57.95,2021-01-01
40729,NYSE:ALLY,37.21,2021-01-01
40888,NYSE:AJRD,0,2021-01-01
40987,NYSE:GPC,103.74,2021-01-01
41091,NYSE:GPJA,0,2021-01-01
41133,NYSE:GRB,0,2021-01-01
41719,NYSE:GLT,18.67,2021-01-01
42582,Nasdaq:GT,10.74,2021-01-01
42682,NYSE:GRC,34.12,2021-01-01
42872,,0,2021-01-01
42888,NYSE:GGG,74.96,2021-01-01
43196,NYSE:GTN,17.87,2021-01-01
43350,NYSE:EGAS,0,2021-01-01
43410,NYSE:GNI,0,2021-01-01
43920,NYSE:GEF,51.59,2021-01-01
44545,,0,2021-01-01
45012,NYSE:HAL,20.35,2021-01-01
45876,NYSE:NVRI,19.35,2021-01-01
45919,Nasdaq:HHS,2.75,2021-01-01
46012,,0,2021-01-01
46043,,0,2021-01-01
46080,Nasdaq:HAS,94.79,2021-01-01
46129,Nasdaq:ALNT,35.05,2021-01-01
46195,NYSE:BOH,82.51,2021-01-01
46250,Nasdaq:HWKN,28.9,2021-01-01
46619,NYSE:HEI,137.04,2021-01-01
46738,,0,2021-01-01
46765,NYSE:HP,25.88,2021-01-01
46989,NYSE:HPC,0,2021-01-01
47111,NYSE:HSY,151.17,2021-01-01
47217,NYSE:HPQ,25.75,2021-01-01
47518,NYSE:HRC,0,2021-01-01
48287,NYSE:HNI,35.07,2021-01-01
48465,NYSE:HRL,45.72,2021-01-01
48898,NYSE:HUBB,168.5,2021-01-01
49071,NYSE:HUM,447.69,2021-01-01
49196,Nasdaq:HBAN,14.44,2021-01-01
49534,NASDAQ:LPHIQ,0,2021-01-01
49600,NYSE:EGP,134,2021-01-01
49728,NYSE MKT:IEC,0,2021-01-01
49754,NYSE:DIN,65.42,2021-01-01
49826,NYSE:ITW,209.26,2021-01-01
49930,NASDAQ:IPII,0,2021-01-01
49938,AMEX:IMO,0,2021-01-01
50104,NYSE:ANDV,0,2021-01-01
50493,Nasdaq:IMKTA,42.91,2021-01-01
50710,,0,2021-01-01
50725,NYSE:GFF,23.11,2021-01-01
50863,Nasdaq:INTC,52.19,2021-01-01
50934,NYSE:IDC,0,2021-01-01
50957,NASDAQ:FBN,0,2021-01-01
51143,NYSE:IBM,123.21,2021-01-01
51253,NYSE:IFF,118.65,2021-01-01
51434,NYSE:IP,49.3,2021-01-01
51548,NASDAQ:ISCA,0,2021-01-01
51644,NYSE:IPG,24.46,2021-01-01
51939,NASDAQ:CORSQ,0,2021-01-01
52485,NASDAQ:IPLDP,0,2021-01-01
52708,NASDAQ:IOMT,0,2021-01-01
52795,NYSE:AXE,0,2021-01-01
52827,NYSE:RYN,31.03,2021-01-01
52969,NYSE:JCLY,0,2021-01-01
52988,NYSE:J,114.82,2021-01-01
54003,NYSE:JOR,0,2021-01-01
54056,NYSE:JRN,0,2021-01-01
54187,Nasdaq:MAYS,0,2021-01-01
54381,NYSE:KAMN,0,2021-01-01
54441,NYSE:FRM,0,2021-01-01
54480,NYSE:KSU,215.62,2021-01-01
54502,,0,2021-01-01
54507,NYSE:WR,0,2021-01-01
54991,NYSE:KEI,0,2021-01-01
55067,NYSE:K,57.13,2021-01-01
55135,Nasdaq:KELYA,21.9,2021-01-01
55195,,0,2021-01-01
