CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
31791,NYSE:PKI,128.13,2021-04-01
31978,NYSE:EE,0,2021-04-01
32020,,0,2021-04-01
32166,NASDAQ:ELRC,0,2021-04-01
32604,NYSE:EMR,89.35,2021-04-01
32621,AMEX:MSN,0,2021-04-01
32689,NYSE:EDE,0,2021-04-01
32878,NASDAQ:ENERQ,0,2021-04-01
33002,NYSE:EBF,20.88,2021-04-01
33185,NYSE:EFX,175.13,2021-04-01
33213,NYSE:EQT,18.47,2021-04-01
33488,Nasdaq:ESCA,21.23,2021-04-01
33523,,0,2021-04-01
33533,AMEX:ESP,0,2021-04-01
33619,NYSE:ESL,0,2021-04-01
33769,NASDAQ:BOBE,0,2021-04-01
33934,AMEX:CRF,0,2021-04-01
33992,Nasdaq:KINS,8.02,2021-04-01
34067,Nasdaq:BOOM,54.03,2021-04-01
34088,NYSE:XOM,55.91,2021-04-01
34151,NYSE:JAS,0,2021-04-01
34349,,0,2021-04-01
34408,NYSE:FDO,0,2021-04-01
34489,,0,2021-04-01
34563,Nasdaq:FARM,11.18,2021-04-01
34782,Nasdaq:SRCE,47.14,2021-04-01
34903,NYSE:FRT,100.66,2021-04-01
34956,Nasdaq:TENX,3392,2021-04-01
35214,NYSE:FOE,0,2021-04-01
35527,Nasdaq:FITB,37.22,2021-04-01
36029,Nasdaq:FFIN,47.05,2021-04-01
36032,NYSE:RF,20.44,2021-04-01
36047,NYSE:CLGX,0,2021-04-01
36104,Nasdaq:FRBA,54.24,2021-04-01
36146,Nasdaq:TRMK,34.09,2021-04-01
36270,NYSE:MTB,149.42,2021-04-01
36377,NASDAQ:FHB,27.96,2021-04-01
36966,NYSE:FHN,17.01,2021-04-01
37008,NYSE:FUR,0,2021-04-01
37039,,0,2021-04-01
37049,NYSE:FWV,0,2021-04-01
37472,Nasdaq:FLXS,39.45,2021-04-01
37643,NASDAQ:FPU,0,2021-04-01
37748,NYSE:FLR,21.23,2021-04-01
37785,NYSE:FMC,110.3,2021-04-01
37808,NYSE:FNB,12.73,2021-04-01
37996,NYSE:F,12.85,2021-04-01
38067,,0,2021-04-01
38074,NYSE:FRX,0,2021-04-01
38079,NYSE:SOGCQ,0,2021-04-01
38188,NYSE:FDI,0,2021-04-01
38264,Nasdaq:FORD,2.85,2021-04-01
38725,Nasdaq:FELE,77.63,2021-04-01
38777,NYSE:BEN,29.98,2021-04-01
38984,NASDAQ:RELY,0,2021-04-01
39020,Nasdaq:FEIM,12.45,2021-04-01
39092,AMEX:FRD,0,2021-04-01
39263,NYSE:CFR,112.39,2021-04-01
39273,NASDAQ:FFEX,0,2021-04-01
39311,Nasdaq:IBCP,22.98,2021-04-01
39368,NYSE:FUL,59.46,2021-04-01
39648,NASDAQ:GK,0,2021-04-01
39677,NASDAQ:AVHI,0,2021-04-01
39899,NYSE:GCI,20.48,2021-04-01
39911,NYSE:GPS,30.2,2021-04-01
40211,NYSE:GATX,88.42,2021-04-01
40417,NYSE:GAM,39.38,2021-04-01
40533,NYSE:GD,176.56,2021-04-01
40545,NYSE:GE,65.51,2021-04-01
40554,NYSE:GEK,0,2021-04-01
40570,AMEX:JOB,0,2021-04-01
40704,NYSE:GIS,61.45,2021-04-01
40729,NYSE:ALLY,44.9,2021-04-01
40888,NYSE:AJRD,0,2021-04-01
40987,NYSE:GPC,115.33,2021-04-01
41091,NYSE:GPJA,0,2021-04-01
41133,NYSE:GRB,0,2021-04-01
41719,NYSE:GLT,17.34,2021-04-01
42582,Nasdaq:GT,17.09,2021-04-01
42682,NYSE:GRC,32.8,2021-04-01
42872,,0,2021-04-01
42888,NYSE:GGG,69.43,2021-04-01
43196,NYSE:GTN,19.75,2021-04-01
43350,NYSE:EGAS,0,2021-04-01
43410,NYSE:GNI,0,2021-04-01
43920,NYSE:GEF,55.76,2021-04-01
44545,,0,2021-04-01
45012,NYSE:HAL,21.54,2021-04-01
45876,NYSE:NVRI,18.21,2021-04-01
45919,Nasdaq:HHS,4.55,2021-04-01
46012,,0,2021-04-01
46043,,0,2021-04-01
46080,Nasdaq:HAS,96.85,2021-04-01
46129,Nasdaq:ALNT,35.53,2021-04-01
46195,NYSE:BOH,91.96,2021-04-01
46250,Nasdaq:HWKN,34.32,2021-04-01
46619,NYSE:HEI,125.23,2021-04-01
46738,,0,2021-04-01
46765,NYSE:HP,29.66,2021-04-01
46989,NYSE:HPC,0,2021-04-01
47111,NYSE:HSY,156.38,2021-04-01
47217,NYSE:HPQ,30.47,2021-04-01
47518,NYSE:HRC,0,2021-04-01
48287,NYSE:HNI,40.14,2021-04-01
48465,NYSE:HRL,48.55,2021-04-01
48898,NYSE:HUBB,184.37,2021-04-01
49071,NYSE:HUM,404.37,2021-04-01
49196,Nasdaq:HBAN,25.25,2021-04-01
49534,NASDAQ:LPHIQ,0,2021-04-01
49600,NYSE:EGP,141.77,2021-04-01
49728,NYSE MKT:IEC,0,2021-04-01
49754,NYSE:DIN,89.31,2021-04-01
49826,NYSE:ITW,219.11,2021-04-01
49930,NASDAQ:IPII,0,2021-04-01
49938,AMEX:IMO,0,2021-04-01
50104,NYSE:ANDV,0,2021-04-01
